[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Sophia, 1 = Jason, 2 = BigJason , 3 = Brick, 4 = Golem, 5 = Domes, 52 = portal, 53 = sceneInf, 54 = SelectBulletScr
# Player extra_settings	isActive
# Sophia
0	0	0	0	0
# Jason
1	0	0	1	0
# BigJason
2	118	1875	2	1
# Golem
#4	1300	1120	4
#4	1100	1120	4
# Domes
#5	1050	1100	5
#5	1200	1075	5
# Worms
#6	1060	1060	6
# Floaters
#7	110	2938	7
# Skulls
#8	1180	1120	8
# Insect
#9	130	1120	9
# Orbs
#10	110	2938	10
# Ship
#11	1180	1120	11

# Eyeballs======================================
#SCENE 1
#12	313	1843	12	0
#12	422	1944	12	0
#SCENE 23
12	179	841	12	0
#SCENE 24
12	329	827	12	6
12	358	887	12	6
12	409	834	12	6
#SCENE 25
12	578	839	12	6
12	586	882	12	6
12	658	830	12	6
12	652	903	12	6

# Teleporters====================================
#13	1180	1120	13
#SCENE 2
13	630	1895	13	0
#SCENE 3
13	858	1801	13	6
#SCENE 4
13	1073	1838	13	6
13	1222	1869	13	6
13	1111	1959	13	6
#SCENE 19
13	327	1103	13	6
13	438	1109	13	6
13	433	1185	13	6

# Cannons=========================================
#14	250	2938	14
#SCENE 13
14	391	1404	14	6
#SCENE 8	
14	564	1642	14	6
#SCENE 23
14	132	908	14	6
#SCENE 26
14	948	845	14	6

# Rock OVH==================================
#SCENE 2
93	592	1824	93
93	560	1856	93
93	592	1888	93
93	656	1920	93
93	688	1952	93
93	688	1856	93
93	656	1856	93
93	562	1952	93
93	624	1920	93



#Item
#80	150	2938	80	0
#80	1250	1160	80	1
#80	1300	1160	80	2
#80	1350	1160	80	3
#80	1400	1160	80	4

#BOSS
100	313	1843	100	1

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
# ID	X	Y	ani_set_id	width	height
3	0	2016	3	1567	32
3	0	1760	3	256	32
3	0	0	3	32	2048
3	224	1936	3	64	112
3	224	1768	3	64	120
3	0	0	3	2048	8
3	1503	704	3	64	1345
3	255	1760	3	112	32
3	400	1760	3	224	32
3	480	1936	3	64	112
3	480	1768	3	64	120
3	656	1760	3	224	32
3	735	1936	3	64	112
3	735	1768	3	64	120
3	912	1760	3	655	32
3	992	1936	3	64	112
3	992	1768	3	64	120
3	1248	1936	3	64	112
3	1248	1768	3	64	120
#Floor 1
3	224	1680	3	64	112
3	224	1512	3	64	120
3	0	1504	3	112	32
3	144	1504	3	112	32
3	480	1504	3	64	256
3	256	1504	3	256	32
3	513	1504	3	112	32
3	656	1504	3	112	32
3	736	1504	3	64	256
3	768	1504	3	256	32
3	992	1512	3	64	120
3	992	1680	3	64	112
3	1024	1504	3	256	32
3	1248	1512	3	64	120
3	1248	1680	3	64	112
3	1280	1504	3	112	32
3	1424	1504	3	112	32
#Floor 2
3	0	1248	3	256	32
3	224	1248	3	64	256
3	256	1248	3	112	32
3	400	1248	3	112	32
3	480	1248	3	64	128
3	480	1424	3	64	80
3	512	1248	3	112	32
3	656	1248	3	112	32
3	736	1248	3	64	122
3	736	1424	3	64	80
3	768	1248	3	112	32
3	912	1248	3	112	32
3	992	1248	3	64	123
3	992	1424	3	64	80
3	1024	1248	3	112	32
3	1168	1248	3	112	32
3	1248	1248	3	64	256
3	1280	1248	3	256	32
3	0	992	3	112	32
3	144	992	3	112	32
3	224	992	3	64	123
3	224	1168	3	64	80
3	256	992	3	256	32
3	480	992	3	64	256
3	512	992	3	112	32
3	656	992	3	112	32
3	736	992	3	64	256
3	768	992	3	256	32
3	992	992	3	64	256
3	1024	992	3	112	32
3	1168	992	3	112	32
3	1248	992	3	64	256
#floor
3	0	736	3	256	32
3	224	736	3	64	123
3	224	912	3	64	80
