[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Sophia, 1 = Jason, 2 = BigJason , 3 = Brick, 4 = Golem, 5 = Domes, 52 = portal, 53 = sceneInf
#		49 = Ladder, 85 = Item
# Player extra_settings	isActive
# Sophia
0	92	2938	0	1
#0	2960	1652	0	1
# Jason
1	92	2938	1	0
# BigJason
2	92	2938	2	0
# Golem
#SCENE 1
4	1073	2757	4
4	1339	2821	4
#SCENE 5
4	1855	330	4
4	1970	330	4
4	1921	203	4
#SCENE 7
4	2696	94	4
4	2668	154	4
4	2991	350	4
4	2717	463	4

# Domes==================================
#SCENE 0
#5	157	2864	5
#5	296	2859	5
#SCENE 1
5	1327	2957	5
5	1485	2893	5
5	1399	2936	5
5	1417	2936	5
5	1234	1869	5
5	1266	1869	5

# Worms==================================
#SCENE 0
#6	208	2905	6
#6	220	2905	6
#6	426	2857	6
#6	871	2860	6
#SCENE 1
6	1160	2062	6
6	1198	2062	6
#SCENE 3
6	2215	1813	6
6	2440	2002	6
6	2345	1425	6
6	2425	1481	6
6	2276	1748	6
6	2151	1363	6
6	2216	1297	6
6	2154	1233	6
#SCENE 5
6	1987	1421	6
6	1879	1485	6
6	1802	1359	6

# Floaters================================
#SCENE 0
#7	479	2865	7
#7	927	2873	7
#SCENE 1
7	1218	2897	7
7	1235	2921	7
7	1213	2953	7
#SCENE 7
7	2805	55	7
7	2834	69	7
7	2896	55	7
7	2915	69	7

# Skulls==================================
#SCENE 2
8	1779	1905	8
8	1884	1905	8
#SCENE 5
8	1663	489	8

# Insect===================================
#SCENE 1
9	1401	2395	9
9	1401	2295	9
9	1590	2523	9
9	1476	2471	9
#SCENE 5
9	1919	1071	9
9	1791	1197	9
9	1725	1331	9
9	1767	942	9
9	1481	413	9
9	1977	409	9

# Orbs=====================================
#SCENE 1
10	1080	2129	10
10	1351	2123	10
#SCENE 3
10	2158	1577	10
10	2161	1600	10
#SCENE 5
10	1737	315	10
10	1740	315	10
#SCENE 6
10	2266	94	10
10	2306	94	10
10	2346	94	10
#SCENE 7
10	3005	96	10
10	3005	152	10
10	3005	214	10
10	3005	280	10

# Ship
#11	150	2920	11
# Eyeballs
#12	1180	1120	12
# Teleporters
#13	1180	1120	13
# Cannons
#14	250	2938	14
# Rock OVH
#93	1180	1120	93
#93	1140	1120	93
#11	1180	1120	11

#Mine==================================
#SCENE 3
190	2383	2002	190
#SCENE 5
190	1803	851	190
190	1770	727	190

#Item
#85	150	2938	85	0

#BOSS
#100	150	2930	100

	
#11	100	2938	11	
	

# BRICK 
